id,course_name,provider,description,course_status,pricing,duration_in_hours,rating,reviews,best_of_all_time,url
154,计算机组成 Computer Organization,Coursera,本课程重点讲述计算机的内部结构和工作原理，着眼于软件和硬件的衔接互动，注重基本概念和真实系统的对应。,On-Demand,Free Online Course (Audit),21.65,0,483,0,https://www.classcentral.com/course/pkuco-2351
155,Docker and Kubernetes: The Complete Guide,Udemy,Udemy,On-Demand,Paid Course,21.78333333,0,60865,0,https://www.classcentral.com/course/udemy-docker-and-kubernetes-the-complete-guide-24764
156,How to use ChatGPT and Generative AI to help create content,Udemy,Udemy,On-Demand,Paid Course,6.75,0,62624,0,https://www.classcentral.com/course/udemy-how-to-use-chatgpt-and-generative-ai-to-hel-205477
157,Introduction to OpenAI API & ChatGPT API for Developers,Udemy,Udemy,On-Demand,Paid Course,2.85,0,59996,0,https://www.classcentral.com/course/udemy-introduction-to-openai-api-chatgpt-api-chatgpt-plugins-210273
158,Internet of Things: How did we get here?,Coursera,"Explore the evolution of telecommunications, from early telephony to modern smartphones and IoT. Understand key innovations, network types, and technological convergence shaping our interconnected world.",On-Demand,Free Online Course (Audit),20.63333333,2,6,0,https://www.classcentral.com/course/internet-of-things-history-4276
159,Mastering Data Structures & Algorithms using C and C++,Udemy,Udemy,On-Demand,Paid Course,76.13333333,0,55357,0,https://www.classcentral.com/course/udemy-datastructurescncpp-25865
160,Data Structures - Full Course Using C and C++,freeCodeCamp,freeCodeCamp,On-Demand,Free Video,10,4.5,13,0,https://www.classcentral.com/classroom/freecodecamp-data-structures-full-course-using-c-and-c-57801
161,"Deep Learning A-Z 2025: Neural Networks, AI & ChatGPT Prize",Udemy,Udemy,On-Demand,Paid Course,22.55,0,48320,0,https://www.classcentral.com/course/udemy-deeplearning-23370
162,Python and Django Full Stack Web Developer Bootcamp,Udemy,Udemy,On-Demand,Paid Course,31.9,0,51510,0,https://www.classcentral.com/course/udemy-python-and-django-full-stack-web-developer--25322
163,"The Complete AI Guide: Learn ChatGPT, Generative AI & More",Udemy,Udemy,On-Demand,Paid Course,36.95,0,49757,0,https://www.classcentral.com/course/udemy-complete-ai-guide-159694
164,Client Needs and Software Requirements,Coursera,This course covers practical techniques to elicit and express software requirements from client interactions.,On-Demand,Free Online Course (Audit),12.08333333,4.5,6,0,https://www.classcentral.com/course/client-needs-and-software-requirements-4302
165,Cryptography,Coursera,"Explore the foundations of modern cryptography, focusing on practical applications and covering topics from classical methods to digital signatures and public-key encryption.",On-Demand,Free Online Course (Audit),17.9,4.5,7,0,https://www.classcentral.com/course/cryptography-1730
166,"Artificial Intelligence A-Z 2025: Agentic AI, Gen AI, and RL",Udemy,Udemy,On-Demand,Paid Course,15.26666667,0,46268,0,https://www.classcentral.com/course/udemy-artificial-intelligence-az-23360
167,Ansible for the Absolute Beginner - Hands-On - DevOps,Udemy,Udemy,On-Demand,Paid Course,2.583333333,0,48626,0,https://www.classcentral.com/course/udemy-learn-ansible-67380
168,Learn Linux in 5 Days and Level Up Your Career,Udemy,Udemy,On-Demand,Paid Course,13.73333333,0,47123,0,https://www.classcentral.com/course/udemy-learn-linux-in-5-days-23976
169,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Udemy,Udemy,On-Demand,Paid Course,28.15,0,45630,0,https://www.classcentral.com/course/udemy-advanced-css-and-sass-24231
170,Generative AI for Beginners,Udemy,Udemy,On-Demand,Paid Course,3.533333333,0,45933,0,https://www.classcentral.com/course/udemy-generative-ai-for-beginners-b-288580
171,Front-End Web Development Certificate (Live Online),Noble Desktop,Noble Desktop,On-Demand,"$3,495.00",108,0,733,0,https://www.classcentral.comhttps://www.nobledesktop.com/certificates/front-end-web-development?utm_source=class-central&utm_medium=referral
172,How to Code: Simple Data,edX,"Learn the secret to writing well-tested and easy to improve programs, that will set you up to master any programming language",On-Demand,Free Online Course (Audit),17.5,3.5,15,0,https://www.classcentral.com/course/coding-university-of-british-columbia-how-to-code-3465
173,Supervised Machine Learning: Regression and Classification,Coursera,29447 ratings at Coursera,On-Demand,Free Online Course (Audit),33.31666667,0,29447,0,https://www.classcentral.com/course/machine-learning-104368
174,Complete Linux Training Course to Get Your Dream IT Job 2025,Udemy,Udemy,On-Demand,Paid Course,40.91666667,0,41815,0,https://www.classcentral.com/course/udemy-complete-linux-training-course-to-get-your-dream-it-job-23968
175,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Coursera,"Aprenda a implementar princípios de IA e aprendizado de máquina usando TensorFlow, construindo modelos escaláveis para resolver problemas do mundo real em visão computacional.",On-Demand,Free Online Course (Audit),22.05,0,19669,0,https://www.classcentral.com/course/introduction-tensorflow-13287
176,HTML and CSS for Beginners - Build a Website & Launch ONLINE,Udemy,Udemy,On-Demand,Paid Course,8.8,0,37383,0,https://www.classcentral.com/course/udemy-html-and-css-for-beginners-crash-course-learn-fast-easy-27907
177,Programming 101,Udemy,Udemy,On-Demand,Free Online Course,4.316666667,0,21181,0,https://www.classcentral.com/course/udemy-programming-101-61259
178,DevOps Beginners to Advanced with Projects,Udemy,Udemy,On-Demand,Paid Course,55.65,0,39407,0,https://www.classcentral.com/course/udemy-decodingdevops-70141
179,Self Driving Car Engineer,Udacity,5 reviews,On-Demand,Paid Course,2885.6,5,5,0,https://www.classcentral.com/course/udacity-self-driving-car-engineer-nanodegree--nd0013-18214
180,"Software - Mathematica, MATLAB, Aspen Plus",YouTube,"Learn to use Mathematica, MATLAB, and Aspen Plus for engineering computing through comprehensive screencasts covering interactive simulations, data analysis, programming, and chemical process modeling.",On-Demand,Free Video,3.5,0,0,0,https://www.classcentral.com/classroom/youtube-software-mathematica-matlab-aspen-plus-91327
181,Intro to ChatGPT and Generative AI,Udemy,Udemy,On-Demand,Paid Course,2.35,0,40514,0,https://www.classcentral.com/course/udemy-intro-to-chatgpt-and-generative-ai-271642
182,Kubernetes Certified Application Developer (CKAD) with Tests,Udemy,Udemy,On-Demand,Paid Course,16.88333333,0,36939,0,https://www.classcentral.com/course/udemy-certified-kubernetes-application-developer-24081
183,"Machine Learning, Data Science and Generative AI with Python",Udemy,Udemy,On-Demand,Paid Course,20.51666667,0,35146,0,https://www.classcentral.com/course/udemy-data-science-and-machine-learning-with-python-hands-on-23373
184,Docker & Kubernetes: The Practical Guide [2025 Edition],Udemy,Udemy,On-Demand,Paid Course,23.68333333,0,33752,0,https://www.classcentral.com/course/udemy-docker-kubernetes-the-practical-guide-26933
185,Software Debugging,Udacity,In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.,On-Demand,Free Online Course,1344,4.5,6,0,https://www.classcentral.com/course/udacity-software-debugging-457
186,Linux Command Line Basics,Udemy,Udemy,On-Demand,Paid Course,4.983333333,0,32304,0,https://www.classcentral.com/course/udemy-linux-command-line-volume1-26459
187,How to ChatGPT: Master the Art of Prompt Engineering,Udemy,Udemy,On-Demand,Paid Course,2.816666667,0,33572,0,https://www.classcentral.com/course/udemy-chatgpt-a-master-guide-for-professionals-294860
188,Microsoft SQL for Beginners,Udemy,Udemy,On-Demand,Paid Course,3.983333333,0,31623,0,https://www.classcentral.com/course/udemy-microsoft-sql-for-beginners-32900
189,LangChain- Develop AI Agents with LangChain & LangGraph,Udemy,Udemy,On-Demand,Paid Course,14.46666667,0,31029,0,https://www.classcentral.com/course/udemy-langchain-210296
190,JavaScript Algorithms and Data Structures Masterclass,Udemy,Udemy,On-Demand,Paid Course,21.9,0,30070,0,https://www.classcentral.com/course/udemy-js-algorithms-and-data-structures-masterclass-25090
191,Computer Networking,Udacity,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.,On-Demand,Free Online Course,2016,4,6,0,https://www.classcentral.com/course/udacity-computer-networking-2336
192,The DevOps Essentials -  The Handbook,Udemy,Udemy,On-Demand,Paid Course,1.983333333,0,30549,0,https://www.classcentral.com/course/udemy-the-devops-essentials-69413
193,Linux Administration Bootcamp: Go from Beginner to Advanced,Udemy,Udemy,On-Demand,Paid Course,9.333333333,0,29045,0,https://www.classcentral.com/course/udemy-linux-administration-bootcamp-23972
194,Cris Moore on Algorithmic Justice and The Physics of Inference,YouTube,"Exploring algorithmic justice and inference physics, this talk delves into the limits of AI decision-making, emphasizing transparency, model suitability, and the importance of understanding technology's boundaries in complex problem-solving.",On-Demand,Free Video,1.2,0,0,0,https://www.classcentral.com/classroom/youtube-cris-moore-on-algorithmic-justice-the-physics-of-inference-141905
195,Ethereum and Solidity: The Complete Developer's Guide,Udemy,Udemy,On-Demand,Paid Course,23.98333333,0,27941,0,https://www.classcentral.com/course/udemy-ethereum-and-solidity-the-complete-developers-guide-26943
196,More Communication Lower Bounds for Information-Theoretic MPC,YouTube,"Explores communication complexity lower bounds in information-theoretic secure multiparty computation, covering perfect passive and malicious security settings with various party thresholds and reactive functionalities.",On-Demand,Free Video,0.366666667,0,0,0,https://www.classcentral.com/classroom/youtube-more-communication-lower-bounds-for-information-theoretic-mpc-136175
197,"ADSI Summer Workshop- Algorithmic Foundations of Learning and Control, Pablo Parrilo",YouTube,"Explore advanced Gaussian kernel factorization techniques and their applications in machine learning and control systems, with insights from approximation theory.",On-Demand,Free Video,0.85,0,0,0,https://www.classcentral.com/classroom/youtube-2019-adsi-summer-workshop-algorithmic-foundations-of-learning-and-control-pablo-parrilo-136286
198,Wireless Network System Capstone,YouTube,"Explore student projects showcasing innovative wireless network systems, from enhanced e-readers to collaborative tools and vision-based applications.",On-Demand,Free Video,1.1,0,0,0,https://www.classcentral.com/classroom/youtube-wireless-network-system-capstone-cse-481-spring-2015-136290
199,Luis von Ahn: Pioneering Crowdsourcing and Language Learning with Duolingo,YouTube,"Pioneering crowdsourcing: From reCAPTCHA to Duolingo. Insights on harnessing collective intelligence for free language learning, tech entrepreneurship, and the impact of accessible education.",On-Demand,Free Video,0.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-acm-bytecast-episode-14-luis-von-ahn-138076
200,SIGCOMM 2020 - Caching with Delayed Hits,YouTube,"Explore caching strategies with delayed hits, examining their impact on aggregate delay and performance through experimental results and in-depth analysis.",On-Demand,Free Video,0.35,0,0,0,https://www.classcentral.com/classroom/youtube-sigcomm-2020-caching-with-delayed-hits-138120
201,Caching with Time Windows,YouTube,"Explore efficient caching strategies using time windows, including weighted caching algorithms and technical challenges in optimizing cache performance.",On-Demand,Free Video,0.4,0,0,0,https://www.classcentral.com/classroom/youtube-caching-with-time-windows-138216
202,Neural Circuit Modeling of Large-Scale Brain Dynamics for Computational Psychiatry,YouTube,"Explore neural circuit modeling for large-scale brain dynamics in computational psychiatry, bridging microcircuit perturbations with neuroimaging biomarkers to advance personalized therapeutics.",On-Demand,Free Video,0.733333333,0,0,0,https://www.classcentral.com/classroom/youtube-john-murray-neural-circuit-modeling-of-large-scale-brain-dynamics-for-computational-psychiatry-169505
203,From Bits to Atoms - Turning Information into Things and Things into Information,YouTube,"Explore the convergence of computer science and physical science, examining how information becomes tangible and objects transform into data, revolutionizing manufacturing and design.",On-Demand,Free Video,0.716666667,0,0,0,https://www.classcentral.com/classroom/youtube-neil-gershenfeld-224578
204,The Humble Border-Radius - Exploring CSS Techniques,YouTube,"Explore the versatility of border-radius in CSS, from basic shapes to complex animations and gradients, with expert insights and practical demonstrations.",On-Demand,Free Video,0.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-lea-verou-the-humble-border-radius-css-day-2013-251374
205,Variables and Conditionals in CSS - CSS Day 2013,YouTube,"Learn about CSS variables, conditionals, and advanced techniques from Tab Atkins. Explore modern use cases, hacks, and cutting-edge concepts like shadow DOM and scoped style sheets.",On-Demand,Free Video,0.883333333,0,0,0,https://www.classcentral.com/classroom/youtube-tab-atkins-variables-conditionals-css-day-2013-251377
206,Filter Effects and Blend Modes in CSS - CSS Day 2013,YouTube,"Explore advanced CSS techniques like filter effects and blend modes, learning their syntax, applications, and browser compatibility to enhance web design and create visually striking effects.",On-Demand,Free Video,0.666666667,0,0,0,https://www.classcentral.com/classroom/youtube-divya-manian-filter-effects-blend-modes-css-day-2013-251378
207,3.14 Things I Didn't Know About CSS - Obscure Facts and Quirks,YouTube,"Discover obscure CSS facts, syntax quirks, and unexpected security vulnerabilities in this engaging talk that reveals surprising aspects of Cascading Style Sheets.",On-Demand,Free Video,0.766666667,0,0,0,https://www.classcentral.com/classroom/youtube-mathias-bynens-3-14-things-i-didn-t-know-about-css-css-day-2014-251386
208,Present and Future of CSS Layout - CSS Day 2014,YouTube,"Explore new CSS layout techniques like Flexbox and Grid, and learn how to apply them for improved web design. Discover the future of CSS layout and its practical applications.",On-Demand,Free Video,0.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-tab-atkins-present-and-future-of-css-layout-css-day-2014-251389
209,"Defining ""Auto"" in CSS Layout Systems",YouTube,"Explore the intricacies of ""auto"" sizing in CSS layouts, understanding layout engine primitives and their incorporation into new systems for more effective adaptive designs.",On-Demand,Free Video,0.883333333,0,0,0,https://www.classcentral.com/classroom/youtube-fantasai-defining-auto-css-day-2015-251390
210,The Back of the Class - Challenging CSS Best Practices,YouTube,"Provocative critique of CSS ""best practices"" challenging modular approaches, encouraging simplicity, and embracing inheritance for more efficient and content-focused web development.",On-Demand,Free Video,0.8,0,0,0,https://www.classcentral.com/classroom/youtube-stephen-hay-the-back-side-of-the-class-css-day-2015-251391
211,The Future of CSS Isn't CSS - Exploring Pre-processors,YouTube,"Explore next-gen CSS syntax and pre-processors for enhanced styling capabilities, supporting older browsers while embracing programmatic approaches and advanced Sass techniques.",On-Demand,Free Video,0.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-roy-tomeij-the-future-of-css-isn-t-css-css-day-2015-251392
212,CSS at the Intersection - Mental Models and Team Communication,YouTube,"Exploring CSS mental models, team communication, and effective tools for designer-developer collaboration. Insights on bridging gaps and fostering multidisciplinary practices in web development.",On-Demand,Free Video,0.733333333,0,0,0,https://www.classcentral.com/classroom/youtube-natalya-shelburne-css-at-the-intersection-css-day-2019-251400
213,Line Breaking and Related Properties from CSS Text,YouTube,"Comprehensive exploration of CSS text wrapping, line breaking, and related properties, covering language-specific nuances, implementation challenges, and practical examples for web developers.",On-Demand,Free Video,0.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-florian-rivoal-line-breaking-and-related-properties-from-css-text-css-day-2019-251405
214,CSS and SVG - The Dynamic Duo,YouTube,"Explore the dynamic synergy between CSS and SVG for creating interactive, responsive web graphics. Learn techniques for animations, styling, and enhancing SVG with CSS to elevate your web design skills.",On-Demand,Free Video,0.866666667,0,0,0,https://www.classcentral.com/classroom/youtube-amelia-bellamy-royds-css-and-svg-the-dynamic-duo-css-day-2016-251430
215,The Evolution of CSS4 Color,YouTube,"Explore the evolution of CSS4 Color with Chris Lilley, covering ICC profiles, CIE Lab, and rendering intents. Learn about color management, practical applications, and the future of web color standards.",On-Demand,Free Video,0.8,0,0,0,https://www.classcentral.com/classroom/youtube-chris-lilley-the-evolution-of-css4-color-css-day-2016-251431
216,CSS for Software Engineers - Writing Better CSS Using Engineering Principles,YouTube,"Explore software engineering principles applied to CSS development, enhancing code quality, maintainability, and scalability in web design and development.",On-Demand,Free Video,0.816666667,0,0,0,https://www.classcentral.com/classroom/youtube-harry-roberts-css-for-software-engineers-for-css-developers-css-day-2016-251435
217,"CSS for Evil, Not Good",YouTube,"Explore the potential misuse of CSS for deception and manipulation in web design, examining ethical implications and raising awareness about responsible development practices.",On-Demand,Free Video,0.75,0,0,0,https://www.classcentral.com/classroom/youtube-stephen-hay-css-for-evil-not-good-css-day-2017-251445
218,CSS Shapes and Vector Graphics: A Tale of Four Properties,YouTube,"Exploring CSS shape-related properties: clip-path, basic shapes, and the unexpected path() function. Learn to navigate these complex features for creative web design.",On-Demand,Free Video,0.766666667,0,0,0,https://www.classcentral.com/classroom/youtube-chris-coyier-a-tale-of-four-properties-css-day-2017-251446
219,The Far Future of CSS - Exploring Advanced Features and Customization,YouTube,"Explore the future of CSS with Tab Atkins, delving into custom properties, functions, and layouts. Gain insights on upcoming features and potential developments in web styling.",On-Demand,Free Video,0.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-tab-atkins-the-far-future-of-css-css-day-2017-251447
220,Writing Modes and CSS Typography for Global Languages,YouTube,"Explore CSS Writing Modes for inclusive web design, supporting diverse scripts and languages. Learn to implement vertical typesetting and create graphic design effects using writing mode properties.",On-Demand,Free Video,0.85,0,0,0,https://www.classcentral.com/classroom/youtube-jen-simmons-writing-modes-css-day-2017-251449
221,CSS Reset - Redesigning CSS from Scratch,YouTube,"Inventors of CSS discuss potential redesigns, exploring syntax choices and simplification for improved interoperability in this thought-provoking talk on the evolution of web styling.",On-Demand,Free Video,0.766666667,0,0,0,https://www.classcentral.com/classroom/youtube-bert-bos-haakon-wium-lie-css-reset-css-day-2017-251452
222,Box Alignment in CSS - Understanding Layout and Positioning,YouTube,Explore CSS box alignment techniques and their interactions with other layout properties. Learn how to effectively position and align content for better web design and user experience.,On-Demand,Free Video,0.716666667,0,0,0,https://www.classcentral.com/classroom/youtube-chen-hui-jing-box-alignment-css-day-2018-251470
223,CSS on Today's Web Platform - View Source 2019,YouTube,"Explore CSS evolution, pragmatic solutions, and upcoming APIs. Dive into grid layouts, variable fonts, and Houdini, discovering modern techniques for web development challenges.",On-Demand,Free Video,0.483333333,0,0,0,https://www.classcentral.com/classroom/youtube-tejas-kumar-css-on-today-s-web-platform-view-source-2019-251498
224,Demystifying Modern CSS Layouts with DevTools,YouTube,"Explore modern CSS layouts using Firefox DevTools. Learn to visualize and understand Flexbox, Grid, and Box alignment properties for responsive web design.",On-Demand,Free Video,0.483333333,0,0,0,https://www.classcentral.com/classroom/youtube-hui-jing-chen-demystify-modern-css-layouts-with-devtools-view-source-2019-251504
225,Demystifying CSS Container Queries with Miriam Suzanne,YouTube,"Explore CSS Container Queries with expert Miriam Suzanne. Learn implementation, responsive design techniques, and practical applications for more powerful and flexible styling approaches.",On-Demand,Free Video,1.466666667,0,0,0,https://www.classcentral.com/classroom/youtube-demystifying-css-container-queries-248285
226,Exactly How to Use CSS Sprites to Improve Website Performance,YouTube,"Learn to optimize web performance using CSS sprites, reducing HTTP requests and improving load times for faster, more efficient websites.",On-Demand,Free Video,0.516666667,0,0,0,https://www.classcentral.com/classroom/youtube-exactly-how-to-use-css-sprites-253351
227,Simultaneous Multithreading: Revolutionizing Processor Architecture - 2020 Women's Research Day Keynote,YouTube,Renowned computer scientist Susan Eggers discusses her groundbreaking work on Simultaneous Multithreading and shares insights from her distinguished career in this inspiring keynote address.,On-Demand,Free Video,0.6,0,0,0,https://www.classcentral.com/classroom/youtube-2020-women-s-research-day-keynote-by-susan-eggers-253754
228,Network Security - Lecture 9,YouTube,"Advanced network protocols and distributed systems concepts explored, focusing on scalability, fault tolerance, and performance optimization in large-scale distributed environments.",On-Demand,Free Video,2.7,0,0,0,https://www.classcentral.com/classroom/youtube-csep-561-lecture-9-253757
229,Network Security - Lecture 7,YouTube,"Explore advanced concepts in computer science, focusing on key algorithms, data structures, and problem-solving techniques to enhance your programming skills and theoretical understanding.",On-Demand,Free Video,1.383333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep561-lecture-7-253758
230,Network Security - Lecture 5,YouTube,"Explore advanced network algorithms and protocols, focusing on routing techniques, distributed systems, and network optimization strategies.",On-Demand,Free Video,2.966666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-561-lecture-5-253759
231,Network Security - Lecture 4,YouTube,"Explore advanced concepts in computer science, focusing on cutting-edge algorithms, data structures, and problem-solving techniques in this comprehensive lecture from the Paul G. Allen School.",On-Demand,Free Video,2.933333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-561-lecture-4-253765
232,Network Security and Cryptography - Lecture 2,YouTube,"Explore advanced network algorithms, protocols, and architectures in this comprehensive lecture on computer networking fundamentals and cutting-edge technologies.",On-Demand,Free Video,2.933333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-561-lecture-2-253766
233,Machine Learning Fundamentals - Lecture 6,YouTube,"Explore advanced machine learning concepts, focusing on decision trees, ensemble methods, and boosting algorithms for improved predictive modeling and data analysis.",On-Demand,Free Video,2.516666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-546-lecture-6-253776
234,Graduate Student Research Showcase - Hodgepodge,YouTube,"Diverse research presentations by Allen School graduate students, showcasing innovative projects and cutting-edge findings in computer science and related fields.",On-Demand,Free Video,0.966666667,0,0,0,https://www.classcentral.com/classroom/youtube-uw-allen-school-colloquium-hodgepodge-253781
235,"Computational Fabrication: Interactivity, Design, and Wireless Analytics - Lecture Series",YouTube,"Exploring computational fabrication: from interactive 3D printing to functional CAD programming, wireless analytics for printed objects, and machine knitting texture design.",On-Demand,Free Video,0.9,0,0,0,https://www.classcentral.com/classroom/youtube-uw-allen-school-colloquium-computational-fabrication-group-253806
236,Distributed Systems: Replication and Consistency - Lecture 3,YouTube,"Explore advanced topics in computer science, focusing on cutting-edge research and emerging technologies in the field of artificial intelligence and machine learning.",On-Demand,Free Video,2.6,0,0,0,https://www.classcentral.com/classroom/youtube-csep-590a-lecture-3-253809
237,CSEP 590A - Lecture 2,YouTube,"Explore advanced topics in computer science, covering cutting-edge algorithms, data structures, and problem-solving techniques in this comprehensive lecture series.",On-Demand,Free Video,2.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-590a-lecture-2-253810
238,CSEP 501 - Compilers for Computer Languages - Lecture 10,YouTube,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",On-Demand,Free Video,2.816666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-10-253813
239,CSEP 501 - Compilers for Computer Languages - Lecture 9,YouTube,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",On-Demand,Free Video,2.7,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-9-253814
240,CSEP 501 - Compilers for Computer Languages - Lecture 7,YouTube,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",On-Demand,Free Video,2.733333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-7-253818
241,Compilers and Language Design - Lecture 3,YouTube,"Explore advanced compiler techniques, optimization strategies, and code generation methods in this comprehensive lecture on modern compiler design and implementation.",On-Demand,Free Video,2.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-3-253822
242,Distributed Systems: Consensus and Replication - Lecture 10,YouTube,"Explore advanced topics in distributed systems, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networks.",On-Demand,Free Video,2.666666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-552-lecture-10-253825
243,Distributed Systems: Consensus and Replication - Lecture 8,YouTube,"Explore advanced topics in distributed systems, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networks.",On-Demand,Free Video,2.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-552-lecture-8-253829
244,Distributed Systems: Replication and Consistency - Lecture 4,YouTube,"Explore advanced distributed systems concepts, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networks.",On-Demand,Free Video,2.65,0,0,0,https://www.classcentral.com/classroom/youtube-csep-552-lecture-4-253831
245,Distributed Systems: Logical Time and Causality - Lecture 3,YouTube,"Explore advanced distributed systems concepts, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networked environments.",On-Demand,Free Video,2.716666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-552-lecture-3-253832
246,Distributed Systems: Synchronization and Coordination - Lecture 2,YouTube,"Explore advanced distributed systems concepts, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networked environments.",On-Demand,Free Video,2.783333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-552-lecture-2-253833
247,Database Management Systems - Lecture 9,YouTube,"Explore advanced database concepts and techniques in this comprehensive lecture, focusing on query optimization, indexing strategies, and performance tuning for efficient data management.",On-Demand,Free Video,2.9,0,0,0,https://www.classcentral.com/classroom/youtube-csep-544-lecture-9-253840
248,Natural Language Processing - Lecture 7,YouTube,"Explore advanced topics in computer science, focusing on cutting-edge algorithms, data structures, and theoretical concepts to enhance problem-solving skills and deepen understanding of computational complexity.",On-Demand,Free Video,2.866666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-517-lecture-7-253845
249,Operating Systems - Lecture 9,YouTube,"Explore advanced concepts in computer science, focusing on cutting-edge topics and research areas. Gain insights into current trends and future directions in the field.",On-Demand,Free Video,2.9,0,0,0,https://www.classcentral.com/classroom/youtube-csep-551-lecture-9-253849
250,Operating Systems - Lecture 8,YouTube,"Explore advanced concepts in computer science, focusing on cutting-edge topics and research areas. Gain insights into complex algorithms and theoretical foundations.",On-Demand,Free Video,2.8,0,0,0,https://www.classcentral.com/classroom/youtube-csep-551-lecture-8-253853
251,Operating Systems - Lecture 7,YouTube,"Explore advanced concepts in computer science, focusing on key topics and algorithms discussed in Lecture 7 of this graduate-level course.",On-Demand,Free Video,2.816666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-551-lecture-7-253854
252,Operating Systems - Lecture 5,YouTube,"Explore advanced concepts in computer science, focusing on key topics covered in Lecture 5 of CSEP 551, designed to deepen understanding and practical skills in the field.",On-Demand,Free Video,2.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-551-lecture-5-253856
253,Distributed Systems: Consensus and Replication - Lecture 10,YouTube,Explore advanced topics in computer science with in-depth discussions on cutting-edge research and emerging technologies in this comprehensive lecture series.,On-Demand,Free Video,3.033333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-590e-lecture-10-253859
254,Introduction to Natural Language Processing - Lecture 9,YouTube,"Explore advanced topics in computer science, focusing on cutting-edge research and emerging technologies in the field of software engineering and programming.",On-Demand,Free Video,2.9,0,0,0,https://www.classcentral.com/classroom/youtube-csep-590e-lecture-9-253862
255,Distributed Systems: Consensus and Replication - Lecture 7,YouTube,Explore advanced topics in computer science with a focus on cutting-edge research and emerging technologies in this graduate-level lecture series.,On-Demand,Free Video,3,0,0,0,https://www.classcentral.com/classroom/youtube-csep-590e-lecture-7-253864
256,Compilers and Language Design - Lecture 8,YouTube,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",On-Demand,Free Video,2.883333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-8-253885
257,CSEP 501 - Compilers for Computer Languages - Lecture 6,YouTube,"Explore advanced compiler techniques, optimization strategies, and code generation methods for efficient program execution in modern computing systems.",On-Demand,Free Video,2.866666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-6-253887
258,Compilers and Language Design - Lecture 4,YouTube,"Explore advanced compiler techniques, optimization strategies, and code generation methods for modern programming languages in this comprehensive lecture.",On-Demand,Free Video,2.883333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-4-253888
259,Compilers and Language Design - Lecture 2,YouTube,"Explore advanced compiler design concepts, focusing on optimization techniques and intermediate code generation for enhanced program performance and efficiency.",On-Demand,Free Video,2.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-csep-501-lecture-2-253890
260,Database Management Systems - Lecture 7,YouTube,"Explore advanced database concepts, query optimization techniques, and efficient data management strategies in this comprehensive lecture on modern database systems.",On-Demand,Free Video,2.816666667,0,0,0,https://www.classcentral.com/classroom/youtube-csep-544-lecture-7-253892
261,Database Management Systems - Lecture 6,YouTube,"Explore advanced database concepts, query optimization techniques, and efficient data management strategies in this comprehensive lecture on modern database systems.",On-Demand,Free Video,2.85,0,0,0,https://www.classcentral.com/classroom/youtube-csep-544-lecture-6-253893
